,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
4685,YX10BFN,St Laurence Church,2018-11-19 11:47:56+00:00,Brunel University,2018-11-19 11:50:01+00:00,685,no,Morning,bus,7.79,0.76,0.72,10.01,no,yes,1.0833333333333333
5174,LK16DEU,Huxley Close,2018-11-19 14:17:12+00:00,Brunel University,2018-11-19 14:19:15+00:00,530,no,Afternoon,bus,8.0,0.72,0.47,10.01,no,yes,1.05
2194,LK16DDN,Uxbridge High School,2018-11-19 15:29:23+00:00,Brunel University,2018-11-19 15:30:45+00:00,590,no,Afternoon,bus,7.39,0.74,0.38,10.01,no,no,0.36666666666666664
4266,YX10BFK,Uxbridge High School,2018-11-19 16:28:54+00:00,Brunel University,2018-11-19 16:30:44+00:00,590,yes,Afternoon,bus,6.8,0.77,0.89,10.01,no,yes,0.8333333333333334
1006,LK08FLD,Huxley Close,2018-11-19 17:55:13+00:00,Brunel University,2018-11-19 17:57:23+00:00,530,yes,Evening,bus,5.93,0.81,0.56,9.8,no,no,1.1666666666666667
1013,LK08FLD,Uxbridge High School,2018-11-19 18:29:45+00:00,Brunel University,2018-11-19 18:31:14+00:00,590,yes,Evening,bus,5.49,0.84,0.63,9.91,no,no,0.48333333333333334
975,LK08FLD,St Laurence Church,2018-11-19 19:56:03+00:00,Brunel University,2018-11-19 19:58:07+00:00,685,no,Evening,bus,5.01,0.88,0.7,9.85,no,yes,1.0666666666666667
2908,LK16DEU,Huxley Close,2018-11-21 12:41:57+00:00,Brunel University,2018-11-21 12:43:28+00:00,530,no,Afternoon,bus,7.37,0.7,0.44,10.01,no,no,0.5166666666666667
1741,LK08FND,Uxbridge High School,2018-11-21 13:35:45+00:00,Brunel University,2018-11-21 13:37:21+00:00,590,no,Afternoon,bus,7.13,0.67,0.46,10.01,no,no,0.6
1810,LK08FND,St Laurence Church,2018-11-21 15:05:08+00:00,Brunel University,2018-11-21 15:07:13+00:00,685,no,Afternoon,bus,6.48,0.66,0.64,10.01,no,yes,1.0833333333333333
3723,SN09CGG,Uxbridge High School,2018-11-21 16:15:33+00:00,Brunel University,2018-11-21 16:20:28+00:00,590,yes,Afternoon,bus,5.39,0.71,0.89,10.01,no,yes,3.9166666666666665
2453,LK16DDU,Uxbridge High School,2018-11-21 20:41:35+00:00,Brunel University,2018-11-21 20:42:51+00:00,590,no,Night,bus,2.07,0.87,0.64,8.11,no,no,0.26666666666666666
2260,LK16DDN,Uxbridge High School,2018-11-22 12:00:39+00:00,Brunel University,2018-11-22 12:02:23+00:00,590,no,Morning,bus,4.24,0.9,0.69,3.91,no,yes,0.7333333333333333
2756,LK16DDZ,Uxbridge High School,2018-11-22 14:22:11+00:00,Brunel University,2018-11-22 14:24:19+00:00,590,no,Afternoon,bus,5.64,0.88,0.82,4.3,no,yes,1.1333333333333333
715,LK08FKW,St Laurence Church,2018-11-22 16:17:39+00:00,Brunel University,2018-11-22 16:19:46+00:00,685,no,Afternoon,bus,4.73,0.93,0.83,3.73,no,yes,1.1166666666666667
