,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
2924,LK16DEU,Colham Road,2018-11-12 10:42:00+00:00,Violet Avenue,2018-11-12 10:43:33+00:00,525,no,Morning,bus,12.24,0.8,0.31,10.01,no,no,-0.45
4087,YX10BFE,Colham Road,2018-11-12 11:31:25+00:00,Violet Avenue,2018-11-12 11:33:06+00:00,525,no,Morning,bus,13.33,0.77,0.89,10.01,no,yes,-0.31666666666666665
2167,LK16DDL,Colham Road,2018-11-12 12:18:25+00:00,Violet Avenue,2018-11-12 12:20:16+00:00,525,no,Afternoon,bus,13.84,0.75,0.48,10.01,no,yes,-0.15
2133,LK16DDL,Colham Road,2018-11-12 14:28:03+00:00,Violet Avenue,2018-11-12 14:29:39+00:00,525,no,Afternoon,bus,13.11,0.73,0.34,10.01,no,yes,-0.4
1777,LK08FND,Colham Road,2018-11-12 15:25:21+00:00,Violet Avenue,2018-11-12 15:27:00+00:00,525,no,Afternoon,bus,12.48,0.75,0.32,10.01,no,no,-0.35
3632,SN09CFY,Apple Tree Avenue,2018-11-12 18:47:22+00:00,Violet Avenue,2018-11-12 18:51:21+00:00,960,yes,Evening,bus,10.89,0.82,0.23,10.01,no,yes,1.9833333333333334
4211,YX10BFF,Colham Road,2018-11-12 21:05:04+00:00,Violet Avenue,2018-11-12 21:06:08+00:00,525,yes,Night,bus,9.87,0.88,0.89,10.01,no,yes,-0.9333333333333333
2235,LK16DDN,Colham Road,2018-11-13 13:42:38+00:00,Violet Avenue,2018-11-13 13:44:20+00:00,525,yes,Afternoon,bus,13.01,0.67,0.42,10.01,no,yes,-0.3
3837,YX09FLB,Apple Tree Avenue,2018-11-13 16:32:41+00:00,Violet Avenue,2018-11-13 16:36:22+00:00,960,yes,Afternoon,bus,11.36,0.72,0.89,10.01,no,yes,1.6833333333333333
3861,YX09FLB,Colham Road,2018-11-13 17:23:45+00:00,Violet Avenue,2018-11-13 17:25:40+00:00,525,no,Evening,bus,10.8,0.78,0.89,10.01,no,yes,-0.08333333333333333
3762,SN09CGG,Colham Road,2018-11-13 18:24:02+00:00,Violet Avenue,2018-11-13 18:25:57+00:00,525,yes,Evening,bus,10.77,0.82,0.89,10.01,no,yes,-0.08333333333333333
4832,YX58DUA,Colham Road,2018-11-13 19:19:42+00:00,Violet Avenue,2018-11-13 19:21:25+00:00,525,no,Evening,bus,10.63,0.84,0.51,10.01,no,yes,-0.2833333333333333
1520,LK08FLZ,Apple Tree Avenue,2018-11-13 23:08:00+00:00,Violet Avenue,2018-11-13 23:10:23+00:00,960,no,Night,bus,10.06,0.88,0.47,10.01,no,yes,0.38333333333333336
825,LK08FLD,Apple Tree Avenue,2018-11-14 15:56:37+00:00,Violet Avenue,2018-11-14 16:00:17+00:00,960,no,Afternoon,bus,12.87,0.72,0.75,10.01,no,yes,1.6666666666666667
2703,LK16DDZ,Apple Tree Avenue,2018-11-14 17:05:32+00:00,Violet Avenue,2018-11-14 17:08:45+00:00,960,no,Evening,bus,10.88,0.8,0.19,10.01,no,no,1.2166666666666666
