,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3336,LK65EAA,Berberis Walk,2018-11-12 00:15:46+00:00,Harmondsworth Road,2018-11-12 00:16:29+00:00,325,no,Night,bus,10.03,0.87,0.56,10.01,yes,yes,-0.2833333333333333
3196,LK16DFC,Harmondsworth Lane,2018-11-12 08:55:22+00:00,Harmondsworth Road,2018-11-12 08:57:59+00:00,1075,no,Morning,bus,10.62,0.95,0.39,9.99,no,no,1.6166666666666667
3430,LK65EAM,Berberis Walk,2018-11-12 10:11:22+00:00,Harmondsworth Road,2018-11-12 10:12:09+00:00,325,no,Morning,bus,11.43,0.82,0.34,10.01,no,yes,-0.21666666666666667
2938,LK16DEU,Berberis Walk,2018-11-12 10:59:24+00:00,Harmondsworth Road,2018-11-12 11:00:01+00:00,325,no,Morning,bus,12.87,0.78,0.31,10.01,no,yes,-0.38333333333333336
4102,YX10BFE,Berberis Walk,2018-11-12 11:50:28+00:00,Harmondsworth Road,2018-11-12 11:51:10+00:00,325,no,Morning,bus,13.77,0.76,0.89,10.01,no,yes,-0.3
2181,LK16DDL,Berberis Walk,2018-11-12 12:38:18+00:00,Harmondsworth Road,2018-11-12 12:39:10+00:00,325,no,Afternoon,bus,13.96,0.74,0.52,10.01,no,no,-0.13333333333333333
2148,LK16DDL,Berberis Walk,2018-11-12 14:53:16+00:00,Harmondsworth Road,2018-11-12 14:54:09+00:00,325,no,Afternoon,bus,12.92,0.73,0.36,10.01,no,no,-0.11666666666666667
1792,LK08FND,Berberis Walk,2018-11-12 15:51:33+00:00,Harmondsworth Road,2018-11-12 15:52:55+00:00,325,no,Afternoon,bus,12.21,0.76,0.3,10.01,no,no,0.36666666666666664
3619,SN09CFY,Harmondsworth Lane,2018-11-12 18:26:12+00:00,Harmondsworth Road,2018-11-12 18:28:42+00:00,1075,yes,Evening,bus,10.99,0.82,0.24,10.01,no,no,1.5
4224,YX10BFF,Berberis Walk,2018-11-12 21:23:48+00:00,Harmondsworth Road,2018-11-12 21:24:58+00:00,325,yes,Night,bus,10.02,0.87,0.89,10.01,no,no,0.16666666666666666
2248,LK16DDN,Berberis Walk,2018-11-13 14:03:17+00:00,Harmondsworth Road,2018-11-13 14:04:00+00:00,325,yes,Afternoon,bus,13.16,0.66,0.45,10.01,no,yes,-0.2833333333333333
3822,YX09FLB,Harmondsworth Lane,2018-11-13 16:12:39+00:00,Harmondsworth Road,2018-11-13 16:14:47+00:00,1075,yes,Afternoon,bus,11.78,0.7,0.89,10.01,no,yes,1.1333333333333333
3875,YX09FLB,Berberis Walk,2018-11-13 17:49:19+00:00,Harmondsworth Road,2018-11-13 17:50:23+00:00,325,no,Evening,bus,10.85,0.8,0.89,10.01,no,yes,0.06666666666666667
