,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
5205,432,Rayners Lane Underground Station,2018-11-25 12:43:34+00:00,Eastcote Underground Station,2018-11-25 12:45:34+00:00,1840,no,Afternoon,tube,7.82,0.79,0.77,9.82,yes,no,-3.0
4380,432,Rayners Lane Underground Station,2018-11-25 17:11:45+00:00,Eastcote Underground Station,2018-11-25 17:14:45+00:00,1840,no,Afternoon,tube,7.06,0.79,0.89,10.01,yes,no,-2.0
5434,433,Rayners Lane Underground Station,2018-11-25 21:18:44+00:00,Eastcote Underground Station,2018-11-25 21:20:43+00:00,1840,no,Night,tube,5.88,0.86,0.77,10.01,yes,yes,-3.0166666666666666
5444,433,Ruislip Manor Underground Station,2018-11-25 21:57:19+00:00,Eastcote Underground Station,2018-11-25 21:59:19+00:00,1140,no,Night,tube,4.81,0.86,0.77,10.01,yes,no,-3.0
5314,433,Rayners Lane Underground Station,2018-11-26 12:50:31+00:00,Eastcote Underground Station,2018-11-26 12:52:29+00:00,1840,no,Afternoon,tube,7.59,0.79,0.75,10.01,no,yes,-3.033333333333333
448,462,Rayners Lane Underground Station,2018-11-26 18:51:53+00:00,Eastcote Underground Station,2018-11-26 18:54:22+00:00,1840,yes,Evening,tube,5.93,0.89,0.64,10.01,no,yes,-2.5166666666666666
5501,407,Rayners Lane Underground Station,2018-11-26 21:14:03+00:00,Eastcote Underground Station,2018-11-26 21:16:33+00:00,1840,yes,Night,tube,3.96,0.93,0.47,8.61,no,yes,-2.5
5511,407,Ruislip Manor Underground Station,2018-11-26 21:47:32+00:00,Eastcote Underground Station,2018-11-26 21:49:32+00:00,1140,yes,Night,tube,4.14,0.93,0.53,7.61,no,yes,-3.0
577,474,Rayners Lane Underground Station,2018-11-26 22:57:11+00:00,Eastcote Underground Station,2018-11-26 22:59:12+00:00,1840,no,Night,tube,3.66,0.94,0.61,5.41,no,no,-2.9833333333333334
376,450,Rayners Lane Underground Station,2018-11-27 12:12:03+00:00,Eastcote Underground Station,2018-11-27 12:14:31+00:00,1840,no,Afternoon,tube,5.38,0.92,0.62,7.84,no,no,-2.533333333333333
528,465,Rayners Lane Underground Station,2018-11-27 21:30:34+00:00,Eastcote Underground Station,2018-11-27 21:32:37+00:00,1840,no,Night,tube,9.53,0.95,0.75,9.95,no,no,-2.95
5734,436,Rayners Lane Underground Station,2018-11-28 13:12:27+00:00,Eastcote Underground Station,2018-11-28 13:14:28+00:00,1840,no,Afternoon,tube,12.91,0.94,0.88,7.72,no,no,-2.9833333333333334
201,445,Rayners Lane Underground Station,2018-11-28 14:05:15+00:00,Eastcote Underground Station,2018-11-28 14:07:47+00:00,1840,no,Afternoon,tube,12.93,0.93,0.88,6.1,no,no,-2.466666666666667
5362,433,Rayners Lane Underground Station,2018-11-28 15:03:35+00:00,Eastcote Underground Station,2018-11-28 15:05:36+00:00,1840,no,Afternoon,tube,12.87,0.9,0.88,8.67,no,no,-2.9833333333333334
5372,433,Ruislip Manor Underground Station,2018-11-28 15:38:44+00:00,Eastcote Underground Station,2018-11-28 15:39:45+00:00,1140,no,Afternoon,tube,12.99,0.92,0.92,9.17,no,yes,-3.9833333333333334
6016,440,Rayners Lane Underground Station,2018-11-28 18:11:20+00:00,Eastcote Underground Station,2018-11-28 18:13:48+00:00,1840,yes,Evening,tube,12.94,0.93,0.81,9.09,no,no,-2.533333333333333
286,447,Rayners Lane Underground Station,2018-11-28 23:36:27+00:00,Eastcote Underground Station,2018-11-28 23:38:26+00:00,1840,no,Night,tube,12.57,0.85,0.66,9.96,no,no,-3.0166666666666666
274,447,Rayners Lane Underground Station,2018-11-29 12:03:05+00:00,Eastcote Underground Station,2018-11-29 12:05:35+00:00,1840,no,Afternoon,tube,13.61,0.76,0.86,10.01,no,yes,-2.5
279,447,Ruislip Manor Underground Station,2018-11-29 12:40:25+00:00,Eastcote Underground Station,2018-11-29 12:41:26+00:00,1140,no,Afternoon,tube,12.94,0.85,0.75,9.74,no,yes,-3.9833333333333334
5742,436,Rayners Lane Underground Station,2018-11-29 15:31:49+00:00,Eastcote Underground Station,2018-11-29 15:33:50+00:00,1840,no,Afternoon,tube,11.74,0.75,0.66,10.01,no,no,-2.9833333333333334
5589,435,Rayners Lane Underground Station,2018-11-30 15:19:18+00:00,Eastcote Underground Station,2018-11-30 15:21:21+00:00,1840,no,Afternoon,tube,10.31,0.66,0.35,10.01,no,no,-2.95
5819,436,Rayners Lane Underground Station,2018-11-30 17:48:28+00:00,Eastcote Underground Station,2018-11-30 17:50:59+00:00,1840,yes,Evening,tube,8.58,0.74,0.45,10.01,no,no,-2.4833333333333334
6165,442,Rayners Lane Underground Station,2018-11-30 18:22:32+00:00,Eastcote Underground Station,2018-11-30 18:25:02+00:00,1840,yes,Evening,tube,8.22,0.76,0.33,10.01,no,no,-2.5
65,442,Rayners Lane Underground Station,2018-12-01 11:27:13+00:00,Eastcote Underground Station,2018-12-01 11:29:12+00:00,1840,no,Morning,tube,10.67,0.95,0.96,6.49,yes,no,-3.0166666666666666
5416,433,Rayners Lane Underground Station,2018-12-01 12:50:59+00:00,Eastcote Underground Station,2018-12-01 12:53:30+00:00,1840,no,Afternoon,tube,11.64,0.94,0.85,5.54,yes,no,-2.4833333333333334
231,446,Rayners Lane Underground Station,2018-12-01 16:26:56+00:00,Eastcote Underground Station,2018-12-01 16:29:26+00:00,1840,no,Afternoon,tube,12.53,0.9,0.73,10.01,yes,no,-2.5
5632,435,Rayners Lane Underground Station,2018-12-01 17:34:12+00:00,Eastcote Underground Station,2018-12-01 17:36:43+00:00,1840,no,Evening,tube,12.21,0.9,0.75,10.01,yes,yes,-2.4833333333333334
6106,441,Rayners Lane Underground Station,2018-12-01 18:03:13+00:00,Eastcote Underground Station,2018-12-01 18:05:15+00:00,1840,no,Evening,tube,12.09,0.88,0.76,10.01,yes,no,-2.966666666666667
5642,435,Ruislip Manor Underground Station,2018-12-01 18:09:20+00:00,Eastcote Underground Station,2018-12-01 18:11:20+00:00,1140,no,Evening,tube,12.07,0.88,0.77,10.01,yes,yes,-3.0
1982,430,Ruislip Manor Underground Station,2018-12-01 22:05:03+00:00,Eastcote Underground Station,2018-12-01 22:07:03+00:00,1140,no,Night,tube,11.76,0.85,0.81,10.01,yes,no,-3.0
5562,435,Rayners Lane Underground Station,2018-12-02 13:05:51+00:00,Eastcote Underground Station,2018-12-02 13:07:51+00:00,1840,no,Afternoon,tube,14.08,0.84,0.75,10.01,yes,no,-3.0
191,444,Rayners Lane Underground Station,2018-12-02 13:56:58+00:00,Eastcote Underground Station,2018-12-02 13:59:28+00:00,1840,no,Afternoon,tube,13.87,0.82,0.75,10.01,yes,no,-2.5
5486,434,Rayners Lane Underground Station,2018-12-02 15:13:42+00:00,Eastcote Underground Station,2018-12-02 15:15:41+00:00,1840,no,Afternoon,tube,13.83,0.85,0.76,10.01,yes,no,-3.0166666666666666
403,451,Rayners Lane Underground Station,2018-12-02 16:49:28+00:00,Eastcote Underground Station,2018-12-02 16:51:58+00:00,1840,no,Afternoon,tube,13.69,0.84,0.85,10.01,yes,no,-2.5
1675,430,Rayners Lane Underground Station,2018-12-03 12:28:14+00:00,Eastcote Underground Station,2018-12-03 12:30:46+00:00,1840,no,Morning,tube,4.02,0.93,0.66,6.42,no,yes,-2.466666666666667
475,463,Rayners Lane Underground Station,2018-12-03 17:27:39+00:00,Eastcote Underground Station,2018-12-03 17:29:09+00:00,1840,yes,Evening,tube,8.91,0.83,0.52,10.01,no,no,-3.5
29,403,Rayners Lane Underground Station,2018-12-03 18:35:21+00:00,Eastcote Underground Station,2018-12-03 18:37:51+00:00,1840,yes,Evening,tube,8.27,0.79,0.63,10.01,no,no,-2.5
