,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
2549,LK16DDX,Ferrers Avenue,2018-11-11 16:03:11+00:00,West Drayton Station,2018-11-11 16:04:39+00:00,405,no,Afternoon,bus,11.76,0.73,0.19,10.01,yes,yes,-0.5333333333333333
1163,LK08FLE,Ferrers Avenue,2018-11-11 16:59:46+00:00,West Drayton Station,2018-11-11 17:00:24+00:00,405,no,Afternoon,bus,10.78,0.78,0.19,10.01,yes,yes,-1.3666666666666667
4304,YX10BFK,Yiewsley High Street,2018-11-11 19:28:46+00:00,West Drayton Station,2018-11-11 19:30:44+00:00,420,no,Evening,bus,9.49,0.81,0.89,10.01,yes,no,-0.03333333333333333
1102,LK08FLD,Ferrers Avenue,2018-11-11 20:53:47+00:00,West Drayton Station,2018-11-11 20:54:41+00:00,405,no,Night,bus,9.17,0.86,0.19,10.01,yes,yes,-1.1
3296,LK65EAA,Ferrers Avenue,2018-11-11 21:36:24+00:00,West Drayton Station,2018-11-11 21:37:20+00:00,405,no,Night,bus,9.23,0.86,0.32,10.01,yes,yes,-1.0666666666666667
3963,YX10BFA,Ferrers Avenue,2018-11-11 22:20:51+00:00,West Drayton Station,2018-11-11 22:21:35+00:00,405,no,Night,bus,9.28,0.88,0.89,10.01,yes,yes,-1.2666666666666666
1072,LK08FLD,Yiewsley High Street,2018-11-11 23:31:50+00:00,West Drayton Station,2018-11-11 23:33:18+00:00,420,no,Night,bus,9.71,0.89,0.67,10.01,yes,yes,-0.5333333333333333
3328,LK65EAA,Yiewsley High Street,2018-11-12 00:07:18+00:00,West Drayton Station,2018-11-12 00:07:45+00:00,420,no,Night,bus,10.02,0.87,0.54,10.01,yes,yes,-1.55
3204,LK16DFC,Ferrers Avenue,2018-11-12 09:06:48+00:00,West Drayton Station,2018-11-12 09:08:32+00:00,405,no,Morning,bus,10.64,0.94,0.38,10.01,no,no,-0.26666666666666666
3422,LK65EAM,Yiewsley High Street,2018-11-12 10:01:37+00:00,West Drayton Station,2018-11-12 10:04:01+00:00,420,no,Morning,bus,11.12,0.83,0.34,10.01,no,no,0.4
2929,LK16DEU,Yiewsley High Street,2018-11-12 10:50:04+00:00,West Drayton Station,2018-11-12 10:51:26+00:00,420,no,Morning,bus,12.59,0.79,0.31,10.01,no,yes,-0.6333333333333333
4092,YX10BFE,Yiewsley High Street,2018-11-12 11:39:43+00:00,West Drayton Station,2018-11-12 11:41:40+00:00,420,no,Morning,bus,13.58,0.77,0.89,10.01,no,no,-0.05
2172,LK16DDL,Yiewsley High Street,2018-11-12 12:28:10+00:00,West Drayton Station,2018-11-12 12:29:33+00:00,420,no,Afternoon,bus,13.94,0.74,0.5,10.01,no,yes,-0.6166666666666667
2138,LK16DDL,Yiewsley High Street,2018-11-12 14:39:25+00:00,West Drayton Station,2018-11-12 14:41:24+00:00,420,no,Afternoon,bus,13.07,0.73,0.35,10.01,no,no,-0.016666666666666666
1782,LK08FND,Yiewsley High Street,2018-11-12 15:38:01+00:00,West Drayton Station,2018-11-12 15:40:27+00:00,420,no,Afternoon,bus,12.36,0.75,0.31,10.01,no,no,0.43333333333333335
3627,SN09CFY,Ferrers Avenue,2018-11-12 18:39:36+00:00,West Drayton Station,2018-11-12 18:41:43+00:00,405,yes,Evening,bus,10.95,0.82,0.23,10.01,no,yes,0.11666666666666667
4216,YX10BFF,Yiewsley High Street,2018-11-12 21:13:36+00:00,West Drayton Station,2018-11-12 21:15:13+00:00,420,yes,Night,bus,9.98,0.87,0.89,10.01,no,yes,-0.38333333333333336
