last_stop,lat,lon
1543934466,51.5534111,-0.448444
1543934586,51.5640163,-0.4436766
1543934767,51.57151475,-0.421363596
1543934857,51.5730085,-0.4130254
1543934947,51.576688,-0.3975687
1542896034,51.5792702,-0.3366561
1542896154,51.5795852,-0.3530692
1542896336,51.5755663,-0.3702198
1542896486,51.576688,-0.3975687
1542896605,51.5730085,-0.4130254
1542896725,51.57151475,-0.421363596
1542896876,51.5640163,-0.4436766
1542896998,51.5534111,-0.448444
1542897237,51.546927,-0.4788252
1542898141,51.5534111,-0.448444
1542898231,51.5640163,-0.4436766
1542898411,51.57151475,-0.421363596
1542898500,51.5730085,-0.4130254
1542898592,51.576688,-0.3975687
1542898772,51.5755663,-0.3702198
1542898892,51.5795852,-0.3530692
1542899013,51.5792702,-0.3366561
1543492259,51.5635385,-0.2789145
1543492591,51.5790155,-0.3179358
1543492682,51.5792702,-0.3366561
1543492834,51.5795852,-0.3530692
1543492985,51.5755663,-0.3702198
1543493135,51.576688,-0.3975687
1543494803,51.5534111,-0.448444
1543494955,51.5640163,-0.4436766
1543495105,51.57151475,-0.421363596
1543495225,51.5730085,-0.4130254
1543446590,51.5223606,-0.1600283
1543447043,51.5462072,-0.1804186
1543447405,51.5635385,-0.2789145
1543447736,51.5790155,-0.3179358
1543447825,51.5792702,-0.3366561
1543448036,51.5795852,-0.3530692
1543448187,51.5755663,-0.3702198
1543448336,51.576688,-0.3975687
1543448457,51.5730085,-0.4130254
1543448578,51.57151475,-0.421363596
1543448728,51.5640163,-0.4436766
1543448817,51.5534111,-0.448444
1543443448,51.5543175,-0.250653366
1543443690,51.5462072,-0.1804186
1543444052,51.5223606,-0.1600283
1543444264,51.5239044,-0.1439641
1543444384,51.5256534,-0.1367174
1543444505,51.5302558,-0.1240631
1543444745,51.5202107,-0.1057568
1543444865,51.5208745,-0.0973156
1543445046,51.5182516,-0.0890625
1543445135,51.5178534,-0.0799749
1543445255,51.5142477,-0.0757186
1543445562,51.5178534,-0.0799749
1543445682,51.5182516,-0.0890625
1543445893,51.5202107,-0.1057568
1543446049,51.5302558,-0.1240631
1543446138,51.5256534,-0.1367174
1543764946,51.5239044,-0.1439641
1543765098,51.5256534,-0.1367174
1543765187,51.5302558,-0.1240631
1543765396,51.5202107,-0.1057568
1543765460,51.5208745,-0.0973156
1543765548,51.5182516,-0.0890625
1543765666,51.5178534,-0.0799749
1543765759,51.5142477,-0.0757186
1543766270,51.5178534,-0.0799749
1543766420,51.5182516,-0.0890625
1543766480,51.5208745,-0.0973156
1543766571,51.5202107,-0.1057568
1541011162,51.5534111,-0.448444
1541011282,51.5640163,-0.4436766
1541011492,51.57151475,-0.421363596
1541011554,51.5730085,-0.4130254
1541011672,51.576688,-0.3975687
1541011883,51.5755663,-0.3702198
1541011974,51.5795852,-0.3530692
1541012184,51.5792702,-0.3366561
1541012940,51.5635385,-0.2789145
1541013181,51.5543175,-0.250653366
1541013424,51.5462072,-0.1804186
1541013821,51.5223606,-0.1600283
1541014003,51.5239044,-0.1439641
1541014123,51.5256534,-0.1367174
1541014185,51.5302558,-0.1240631
1541014426,51.5202107,-0.1057568
1541014484,51.5208745,-0.0973156
1541014577,51.5182516,-0.0890625
1541014728,51.5178534,-0.0799749
1542647831,51.5730085,-0.4130254
1542647950,51.576688,-0.3975687
1542648130,51.5755663,-0.3702198
1542648222,51.5795852,-0.3530692
1542648402,51.5792702,-0.3366561
1542648794,51.5635385,-0.2789145
1542649004,51.5543175,-0.250653366
1542649394,51.5462072,-0.1804186
1542649726,51.5223606,-0.1600283
1542649906,51.5239044,-0.1439641
1542650056,51.5256534,-0.1367174
1542650146,51.5302558,-0.1240631
1542650388,51.5202107,-0.1057568
1542650448,51.5208745,-0.0973156
1542650568,51.5182516,-0.0890625
1542650717,51.5178534,-0.0799749
1544007315,51.5543175,-0.250653366
1544007556,51.5462072,-0.1804186
1544007886,51.5223606,-0.1600283
1544008037,51.5239044,-0.1439641
